ITEM_CATEGORY_NAME,ITEM_SUBCATEGORY_NAME,ITEM_CLASS_NAME,PRODUCT_COUNTRY_ORIGIN_NAME,PRODUCT_SKU_NO,PRODUCT_LONG_NAME,PRODUCT_BASE_UPC_NO,PRODUCT_LITRES_PER_CONTAINER,PRD_CONTAINER_PER_SELL_UNIT,PRODUCT_ALCOHOL_PERCENT,PRODUCT_PRICE,SWEETNESS_CODE
Spirits,Whisky,Single Malt Scotch Whisky,UNITED KINGDOM,891739,SINGLETON OF DUFFTOWN - 12 YEAR OLD,88076179684,0.75,1,40,54.99,NA
Spirits,Grape and Fruit Brandy,Brandy,GERMANY,10512,DUJARDIN - V.S.O.P.,4001731232995,0.75,1,40,24.99,NA
Wine,Fortified Wine,Other Fortified Import Wine,SOUTH AFRICA,17434,KWV - CAPE TAWNY CLASSIC COLLECTION,748294131115,0.75,1,17.5,11.99,5
Wine,France Wine,France White Wine,FRANCE,25270,CHABLIS - WILLIAM FEVRE CHAMPS ROYAUX 2017,3443620009263,0.75,1,12,36.99,0
Wine,Chile Wine,Chile Red Wine,CHILE,43012,PUENTE ALTA RED - ROTHSCHILD CONCHA Y TORO ALMAVIVA 2018,626990467434,0.75,1,15,249.99,NA
Spirits,Whisky,Single Malt Scotch Whisky,UNITED KINGDOM,46725,GLENFARCLAS - FAMILY CASK 1990 S20 CASK 5122,5018066200222,0.7,1,55.2,1107,NA
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,CANADA,57029,GRANVILLE ISLAND - LIONS WINTER ALE GRAND CRU,779446203817,0.65,1,9,13.49,NA
Spirits,Liqueurs,Nut Liqueurs,UNITED STATES OF AMERICA,72289,REVEL STOKE - PECAN LIQUEUR,87116002333,0.75,1,21,25.99,NA
Spirits,Gin,Other Gin,CANADA,131857,REVELSTOKE GIN - SERIES NO. 1,626990442790,0.7,1,37.5,41.99,NA
Wine,France Wine,France White Wine,FRANCE,203442,BARSAC - CHATEAU DOISY DAENE 2017,714153252772,0.375,1,13,50,NA
Wine,France Wine,France Red Wine,FRANCE,213643,LISTRAC - CHATEAU CAP LEON VEYRIN 2016,3474471001168,0.75,1,13,40,NA
Spirits,Grape and Fruit Brandy,Pisco,CHILE,317347,PISCO - CAPEL PREMIUM,7802110002263,0.75,1,40,33.49,NA
Wine,Canada - BC,Canada - BC Rose Wine,CANADA,321620,GRAY MONK - ROSE 2020,778829114245,0.75,1,12.4,17.99,1
Wine,Italy Wine,Italy Rose Wine,ITALY,650309,TOSCANA ROSATO - ROCCA DI MONTEGROSSI ORGANIC,626990193913,0.75,1,13,28.49,0
Wine,Other Country Wine,Other Country Sparkling Wine,UNITED KINGDOM,20407,BRIDE VALLEY - BRUT RESERVE 2014,,0.75,1,12,46.99,NA
Refreshment Beverages,Cider,Domestic Cider,CANADA,43097,NO BOATS ON SUNDAY - PEACH CIDER TALL CAN,48162017696,0.473,4,5,10.99,NA
Wine,Canada - BC,Canada - BC Rose Wine,CANADA,63762,PINK POODLE - ROSE,63657043219,0.75,1,12,8.99,0
Spirits,Liqueurs,Other Liqueurs,NEW ZEALAND,69079,TWISTED SHOTZ - ISLAND THUNDER,9421030103799,0.03,4,20,9.29,NA
Spirits,Liqueurs,Cream/Dairy Liqueurs,ITALY,69289,DISARONNO - VELVET,50037597752,0.75,1,17,26.97,NA
Spirits,Whisky,Single Malt Scotch Whisky,UNITED KINGDOM,99818,OLD PULTENEY - 2007 SINGLE CASK,632070101495,0.75,1,50.2,189.99,NA
Wine,France Wine,France Red Wine,FRANCE,178307,MARAGAUX - CHATEAU D'ISSAN 2017,3277038398233,0.75,1,13,140,NA
Wine,France Wine,France White Wine,FRANCE,417014,SANCERRE - JEAN PAUL BALLAND GRANDE CUVEE 2018,626990205371,0.75,1,13.5,43.99,0
Spirits,Vodka,Straight Vodka,RUSSIA (USSR),659383,RUSSIAN STANDARD - PLATINUM,736040018612,0.75,1,40,29.99,NA
Spirits,Rum,Spiced Rum,UNITED STATES OF AMERICA,786376,SAILOR JERRY - SPICED NAVY,83664871384,1.14,1,46,42.99,NA
Wine,Australia Wine,Australia Red Wine,AUSTRALIA,843334,CABERNET SAUVIGNON - MURRAY BANKS,,0.75,1,13,10.99,0
Spirits,Whisky,Single Malt Scotch Whisky,UNITED KINGDOM,24863,BRUICHLADDICH - ORGANIC 2010,5055807411974,0.7,1,50,115.99,NA
Wine,France Wine,France White Wine,FRANCE,26300,ANJOU - CHATEAU DE SURONDE ORGANIC 2018,3760184170261,0.75,1,12,27.99,0
Wine,USA Wine,USA Red Wine,UNITED STATES OF AMERICA,35637,ZINFANDEL - CARNIVOR,85000024973,0.75,1,14.5,16.99,0
Wine,Spain Wine,Spain Sparkling Wine,SPAIN,74714,ALBET I NOYA - PETIT ALBET PENEDES BRUT RESERVA ORGANIC 2017,8437000043300,0.75,1,12,26.99,1
Wine,France Wine,France White Wine,FRANCE,95034,PESSEC LEOGNAN BLANC - LA CLARTE DE HAUT BRION 2013,,0.75,1,14,179,0
Wine,Hungary Wine,Hungary Sparkling Wine,HUNGARY,106492,HUNGARIA - GRANDE CUVEE BRUT,5998815750201,0.75,1,11.5,12.99,1
Spirits,Whisky,Single Malt Scotch Whisky,UNITED KINGDOM,110489,ARDBEG - SCORCH,5010494969726,0.75,1,46,175.99,NA
Wine,Canada - BC,Canada - BC White Wine,CANADA,118326,CLOS DU SOLEIL - PINOT GRIS WHISPERED SECRET VINEYARD 2020,626990344957,0.75,1,13.5,18.97,0
Wine,Italy Wine,Italy Red Wine,ITALY,151685,BAROLO - ALDO CONTERNO COLONNELLO,795898011763,0.75,1,14.5,255.99,0
Wine,France Wine,France White Wine,FRANCE,158736,MEURSAULT LES TILETS - ANTOINE JOBARD 2018,97985158857,0.75,1,12,165.99,0
Wine,Australia Wine,Australia White Wine,AUSTRALIA,165253,PINOT GRIGIO - SMOKY BAY,57496008553,1,1,12,9.97,0
Wine,New Zealand Wine,New Zealand White Wine,NEW ZEALAND,195172,CHARDONNAY - KIM CRAWFORD EAST COAST UNOAKED 2019,9419227005148,0.75,1,13.6,19.99,0
Wine,France Wine,France Champagne Wine,FRANCE,482026,MOET AND CHANDON - ROSE IMPERIAL,3185370074831,0.75,1,12.5,83.99,0
Spirits,Whisky,Irish Whiskey,IRELAND,592485,JAMESON 18 YEAR OLD LIMITED RESERVE,80432404041,0.75,1,40,154.99,NA
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,CANADA,672816,STEAM WHISTLE - PILSNER CAN,702915002024,0.355,6,5,12.29,NA
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,CANADA,944116,TIN WHISTLE - PEACH CREAM ALE,624117441169,0.65,1,5,5.99,NA
Spirits,Rum,Dark Rum,CANADA,6189,LAMB'S - NAVY,48415345439,0.375,1,40,11.49,NA
Spirits,Whisky,Other Country Whisky,JAPAN,14723,NIKKA - YOICHI SINGLE MALT,4904230042204,0.7,1,45,94.99,NA
Wine,Fortified Wine,Other Fortified Import Wine,FRANCE,32631,LILLET BLANC,87236411015,0.75,1,17,19.99,3
Wine,Argentina Wine,Argentina Red Wine,ARGENTINA,38246,CABERNET SAUVIGNON - UKO SELECT UCO VALLEY 18,7798284570175,0.75,1,13.7,14.99,0
Spirits,Whisky,Bourbon Whiskey,UNITED STATES OF AMERICA,92466,OLD FORESTER - 1870 ORIGINAL BATCH BOURBON,81128000707,0.75,1,45,67.99,NA
Spirits,Other Spirits,Ready to Serve Cocktails,UNITED STATES OF AMERICA,108793,ON THE ROCKS - HORNITOS MARGARITA,855880008116,0.375,1,20,22.49,NA
Wine,France Wine,France Red Wine,FRANCE,126063,MARGAUX - CHATEAU MARGAUX 2016,3609050763483,0.75,1,13,1500,NA
